	id	params	train_rmse	test_rmse	train_mape	test_mape
29	2.0	{'gamma': 0.0, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'nthread': 4}	15.221026142887382	22.376139675244723	9.937490360632413	13.106491624048546
30	2.0	{'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'nthread': 4}	10.872827394667366	23.06014790474534	6.9293492599063224	14.397840698181444
31	2.0	{'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'nthread': 4}	8.857153397340024	22.121144065797264	5.710019940087871	13.831838011621366
32	2.0	{'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'nthread': 4}	6.9647562198440305	22.74742382342623	4.505644168001063	14.179316818136325
33	2.0	{'gamma': 0.0, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'nthread': 4}	8.7705196120559	24.032481741349308	5.6258260397861015	15.057266697356035
34	2.0	{'gamma': 0.0, 'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 100, 'nthread': 4}	6.669569294287819	22.050722452304896	4.305167448994456	13.985343211360481
35	2.0	{'gamma': 0.0, 'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 100, 'nthread': 4}	4.936786496114989	24.476744840440837	3.2418677909795046	15.3780871548161
36	2.0	{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'nthread': 4}	17.699652864524765	22.383130898688055	11.395912678028829	13.10752796709017
37	2.0	{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'nthread': 4}	16.513623554513522	22.148854420607933	10.70201013633404	12.994113843474384
38	2.0	{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'nthread': 4}	15.22102582368438	22.376140568824198	9.937488148084489	13.106492171150569
39	2.0	{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'nthread': 4}	10.872826998014059	23.060147241658143	6.929344123395402	14.397840348656043
40	2.0	{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'nthread': 4}	8.85715357263395	22.121143023455573	5.710019753063258	13.83183731426165
41	2.0	{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'nthread': 4}	6.964764149331247	22.748025253077	4.505637632447813	14.179577832058609
42	2.0	{'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'nthread': 4}	8.772866883049144	24.07513523433118	5.626089051167737	15.094897048883094
43	2.0	{'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 100, 'nthread': 4}	6.631969959718793	22.204766857995466	4.322304080320709	14.038780040492119
44	2.0	{'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 100, 'nthread': 4}	4.946524345089908	24.34704865590509	3.2335871952578463	15.29126126338564
45	2.0	{'gamma': 0.2, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'nthread': 4}	17.699652864524765	22.383130898688055	11.395912678028829	13.10752796709017
46	2.0	{'gamma': 0.2, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'nthread': 4}	16.513623554513522	22.148854420607933	10.70201013633404	12.994113843474384
47	2.0	{'gamma': 0.2, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'nthread': 4}	15.221025925148183	22.376142558181474	9.937485662401686	13.10649465386507
48	2.0	{'gamma': 0.2, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'nthread': 4}	10.872826998014059	23.060147241658143	6.929344123395402	14.397840348656043
49	2.0	{'gamma': 0.2, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'nthread': 4}	8.857153745601895	22.12114319897568	5.710018034312432	13.83183736961828
50	2.0	{'gamma': 0.2, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'nthread': 4}	6.964770934773593	22.748181215634883	4.505646054854146	14.179534462219001
51	2.0	{'gamma': 0.2, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'nthread': 4}	8.772866883049144	24.07513523433118	5.626089051167737	15.094897048883094
52	2.0	{'gamma': 0.2, 'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 100, 'nthread': 4}	6.631969350865514	22.204760272584366	4.322302295506671	14.038775005845308
53	2.0	{'gamma': 0.2, 'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 100, 'nthread': 4}	4.994502683853377	24.090400295848895	3.25994920818349	15.096649966188533
54	3.0	{'gamma': 0.0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'nthread': 4}	17.854833330289566	16.755654627699993	11.487184503379028	11.64306447275838
55	3.0	{'gamma': 0.0, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'nthread': 4}	16.72481290750868	16.832001939060447	10.818771942232088	11.502016645802614
56	3.0	{'gamma': 0.0, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'nthread': 4}	15.500195000458552	16.935680787775333	10.072023012169867	11.39935237347812
57	3.0	{'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'nthread': 4}	10.835422421612357	16.797115781851026	6.852766194559146	10.927954788815905
58	3.0	{'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'nthread': 4}	8.852115050116941	17.259788968630442	5.675518128708147	11.153073040808465
59	3.0	{'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'nthread': 4}	7.072202006572463	16.957267284953364	4.5326351679285315	10.816318745286846
60	3.0	{'gamma': 0.0, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'nthread': 4}	8.709355087767678	17.70856993520778	5.567359337502405	11.723852837460838
