datetime,count
2020-03-14 12:20:00,38
2020-03-14 12:25:00,7
2020-03-14 12:30:00,1
2020-03-14 12:35:00,1
2020-03-14 12:40:00,0
2020-03-14 12:45:00,20
2020-03-14 12:50:00,21
2020-03-14 12:55:00,33
2020-03-14 13:00:00,0
2020-03-14 13:05:00,0
2020-03-14 13:10:00,73
2020-03-14 13:15:00,27
2020-03-14 13:20:00,10
2020-03-14 13:25:00,9
2020-03-14 13:30:00,17
2020-03-14 13:35:00,1
2020-03-14 13:40:00,3
2020-03-14 13:45:00,2
2020-03-14 13:50:00,4
2020-03-14 13:55:00,0
2020-03-14 14:00:00,3
2020-03-14 14:05:00,37
2020-03-14 14:10:00,7
2020-03-14 14:15:00,2
2020-03-14 14:20:00,10
2020-03-14 14:25:00,33
2020-03-14 14:30:00,19
2020-03-14 14:35:00,47
2020-03-14 14:40:00,132
2020-03-14 14:45:00,62
2020-03-14 14:50:00,0
2020-03-14 14:55:00,0
2020-03-14 15:00:00,22
2020-03-14 15:05:00,128
2020-03-14 15:10:00,94
2020-03-14 15:15:00,249
2020-03-14 15:20:00,243
2020-03-14 15:25:00,177
2020-03-14 15:30:00,228
2020-03-14 15:35:00,279
2020-03-14 15:40:00,242
2020-03-14 15:45:00,280
2020-03-14 15:50:00,116
2020-03-14 15:55:00,12
2020-03-14 16:00:00,0
2020-03-14 16:05:00,1
2020-03-14 16:10:00,7
2020-03-14 16:15:00,87
2020-03-14 16:20:00,3
2020-03-14 16:25:00,81
2020-03-14 16:30:00,10
2020-03-14 16:35:00,18
2020-03-14 16:40:00,6
2020-03-14 16:45:00,18
2020-03-14 16:50:00,29
2020-03-14 16:55:00,100
2020-03-14 17:00:00,164
2020-03-14 17:05:00,51
2020-03-14 17:10:00,17
2020-03-14 17:15:00,8
2020-03-14 17:20:00,2
2020-03-14 17:25:00,1
2020-03-14 17:30:00,28
2020-03-14 17:35:00,17
2020-03-14 17:40:00,71
2020-03-14 17:45:00,0
2020-03-14 17:50:00,26
2020-03-14 17:55:00,30
2020-03-14 18:00:00,30
2020-03-14 18:05:00,43
2020-03-14 18:10:00,42
2020-03-14 18:15:00,163
2020-03-14 18:20:00,122
2020-03-14 18:25:00,77
2020-03-14 18:30:00,93
2020-03-14 18:35:00,85
2020-03-14 18:40:00,166
2020-03-14 18:45:00,176
2020-03-14 18:50:00,222
2020-03-14 18:55:00,186
2020-03-14 19:00:00,147
2020-03-14 19:05:00,66
2020-03-14 19:10:00,2
2020-03-14 19:15:00,20
2020-03-14 19:20:00,21
2020-03-14 19:25:00,30
2020-03-14 19:30:00,82
2020-03-14 19:35:00,3
2020-03-14 19:40:00,57
2020-03-14 19:45:00,38
2020-03-14 19:50:00,109
2020-03-14 19:55:00,43
2020-03-14 20:00:00,88
2020-03-14 20:05:00,48
2020-03-14 20:10:00,36
2020-03-14 20:15:00,181
2020-03-14 20:20:00,98
2020-03-14 20:25:00,14
2020-03-14 20:30:00,9
2020-03-14 20:35:00,46
2020-03-14 20:40:00,81
2020-03-14 20:45:00,13
2020-03-14 20:50:00,27
2020-03-14 20:55:00,199
2020-03-14 21:00:00,248
2020-03-14 21:05:00,203
2020-03-14 21:10:00,263
2020-03-14 21:15:00,259
2020-03-14 21:20:00,272
2020-03-14 21:25:00,298
2020-03-14 21:30:00,255
2020-03-14 21:35:00,335
2020-03-14 21:40:00,358
2020-03-14 21:45:00,312
2020-03-14 21:50:00,350
2020-03-14 21:55:00,359
2020-03-14 22:00:00,330
2020-03-14 22:05:00,305
2020-03-14 22:10:00,352
2020-03-14 22:15:00,378
2020-03-14 22:20:00,387
2020-03-14 22:25:00,374
2020-03-14 22:30:00,328
2020-03-14 22:35:00,321
2020-03-14 22:40:00,318
2020-03-14 22:45:00,240
2020-03-14 22:50:00,44
2020-03-14 22:55:00,336
2020-03-14 23:00:00,335
2020-03-14 23:05:00,362
2020-03-14 23:10:00,343
2020-03-14 23:15:00,349
2020-03-14 23:20:00,261
2020-03-14 23:25:00,332
2020-03-14 23:30:00,332
2020-03-14 23:35:00,363
2020-03-14 23:40:00,352
2020-03-14 23:45:00,362
2020-03-14 23:50:00,201
2020-03-14 23:55:00,258
2020-03-15 00:00:00,311
2020-03-15 00:05:00,187
2020-03-15 00:10:00,347
2020-03-15 00:15:00,336
2020-03-15 00:20:00,339
2020-03-15 00:25:00,335
2020-03-15 00:30:00,323
2020-03-15 00:35:00,243
2020-03-15 00:40:00,254
2020-03-15 00:45:00,314
2020-03-15 00:50:00,322
2020-03-15 00:55:00,297
2020-03-15 01:00:00,318
2020-03-15 01:05:00,319
2020-03-15 01:10:00,322
2020-03-15 01:15:00,328
2020-03-15 01:20:00,322
2020-03-15 01:25:00,280
2020-03-15 01:30:00,309
