datetime,count
2020-02-27 13:35:00,92
2020-02-27 13:40:00,250
2020-02-27 13:45:00,319
2020-02-27 13:50:00,100
2020-02-27 13:55:00,116
2020-02-27 14:00:00,183
2020-02-27 14:05:00,145
2020-02-27 14:10:00,96
2020-02-27 14:15:00,25
2020-02-27 14:20:00,42
2020-02-27 14:25:00,11
2020-02-27 14:30:00,3
2020-02-27 14:35:00,0
2020-02-27 14:40:00,19
2020-02-27 14:45:00,48
2020-02-27 14:50:00,36
2020-02-27 14:55:00,5
2020-02-27 15:00:00,0
2020-02-27 15:05:00,7
2020-02-27 15:10:00,6
2020-02-27 15:15:00,16
2020-02-27 15:20:00,31
2020-02-27 15:25:00,90
2020-02-27 15:30:00,22
2020-02-27 15:35:00,26
2020-02-27 15:40:00,11
2020-02-27 15:45:00,8
2020-02-27 15:50:00,42
2020-02-27 15:55:00,4
2020-02-27 16:00:00,4
2020-02-27 16:05:00,15
2020-02-27 16:10:00,342
2020-02-27 16:15:00,153
2020-02-27 16:20:00,15
2020-02-27 16:25:00,10
2020-02-27 16:30:00,40
2020-02-27 16:35:00,21
2020-02-27 16:40:00,92
2020-02-27 16:45:00,25
2020-02-27 16:50:00,35
2020-02-27 16:55:00,84
2020-02-27 17:00:00,19
2020-02-27 17:05:00,7
2020-02-27 17:10:00,51
2020-02-27 17:15:00,8
2020-02-27 17:20:00,23
2020-02-27 17:25:00,5
2020-02-27 17:30:00,25
2020-02-27 17:35:00,57
2020-02-27 17:40:00,62
2020-02-27 17:45:00,4
2020-02-27 17:50:00,17
2020-02-27 17:55:00,65
2020-02-27 18:00:00,96
2020-02-27 18:05:00,236
2020-02-27 18:10:00,213
2020-02-27 18:15:00,71
2020-02-27 18:20:00,0
2020-02-27 18:25:00,0
2020-02-27 18:30:00,0
2020-02-27 18:35:00,0
2020-02-27 18:40:00,0
2020-02-27 18:45:00,0
2020-02-27 18:50:00,0
2020-02-27 18:55:00,0
2020-02-27 19:00:00,16
2020-02-27 19:05:00,37
2020-02-27 19:10:00,156
2020-02-27 19:15:00,192
2020-02-27 19:20:00,217
2020-02-27 19:25:00,43
2020-02-27 19:30:00,67
2020-02-27 19:35:00,27
2020-02-27 19:40:00,59
2020-02-27 19:45:00,140
2020-02-27 19:50:00,167
2020-02-27 19:55:00,201
2020-02-27 20:00:00,165
2020-02-27 20:05:00,8
2020-02-27 20:10:00,6
2020-02-27 20:15:00,0
2020-02-27 20:20:00,6
2020-02-27 20:25:00,2
2020-02-27 20:30:00,7
2020-02-27 20:35:00,11
2020-02-27 20:40:00,1
2020-02-27 20:45:00,21
2020-02-27 20:50:00,24
2020-02-27 20:55:00,130
2020-02-27 21:00:00,112
2020-02-27 21:05:00,105
2020-02-27 21:10:00,19
2020-02-27 21:15:00,219
2020-02-27 21:20:00,315
2020-02-27 21:25:00,60
2020-02-27 21:30:00,0
2020-02-27 21:35:00,5
