datetime,count
2020-02-22 18:10:00,12
2020-02-22 18:15:00,0
2020-02-22 18:20:00,14
2020-02-22 18:25:00,28
2020-02-22 18:30:00,46
2020-02-22 18:35:00,15
2020-02-22 18:40:00,2
2020-02-22 18:45:00,2
2020-02-22 18:50:00,0
2020-02-22 18:55:00,6
2020-02-22 19:00:00,5
2020-02-22 19:05:00,37
2020-02-22 19:10:00,0
2020-02-22 19:15:00,14
2020-02-22 19:20:00,21
2020-02-22 19:25:00,0
2020-02-22 19:30:00,21
2020-02-22 19:35:00,15
2020-02-22 19:40:00,0
2020-02-22 19:45:00,9
2020-02-22 19:50:00,24
2020-02-22 19:55:00,2
2020-02-22 20:00:00,5
2020-02-22 20:05:00,77
2020-02-22 20:10:00,18
2020-02-22 20:15:00,9
2020-02-22 20:20:00,200
2020-02-22 20:25:00,268
2020-02-22 20:30:00,41
2020-02-22 20:35:00,76
2020-02-22 20:40:00,263
2020-02-22 20:45:00,156
2020-02-22 20:50:00,87
2020-02-22 20:55:00,120
2020-02-22 21:00:00,21
2020-02-22 21:05:00,7
2020-02-22 21:10:00,0
2020-02-22 21:15:00,11
2020-02-22 21:20:00,4
2020-02-22 21:25:00,11
2020-02-22 21:30:00,198
2020-02-22 21:35:00,87
2020-02-22 21:40:00,57
2020-02-22 21:45:00,29
2020-02-22 21:50:00,146
2020-02-22 21:55:00,62
2020-02-22 22:00:00,96
2020-02-22 22:05:00,91
2020-02-22 22:10:00,167
2020-02-22 22:15:00,155
2020-02-22 22:20:00,5
2020-02-22 22:25:00,155
2020-02-22 22:30:00,5
2020-02-22 22:35:00,163
2020-02-22 22:40:00,200
2020-02-22 22:45:00,117
2020-02-22 22:50:00,63
2020-02-22 22:55:00,134
2020-02-22 23:00:00,244
2020-02-22 23:05:00,160
2020-02-22 23:10:00,69
2020-02-22 23:15:00,66
2020-02-22 23:20:00,127
2020-02-22 23:25:00,237
2020-02-22 23:30:00,74
2020-02-22 23:35:00,51
2020-02-22 23:40:00,109
2020-02-22 23:45:00,34
2020-02-22 23:50:00,15
2020-02-22 23:55:00,1
2020-02-23 00:00:00,34
2020-02-23 00:05:00,48
2020-02-23 00:10:00,140
2020-02-23 00:15:00,112
2020-02-23 00:20:00,81
2020-02-23 00:25:00,76
2020-02-23 00:30:00,301
2020-02-23 00:35:00,288
2020-02-23 00:40:00,287
2020-02-23 00:45:00,351
2020-02-23 00:50:00,366
2020-02-23 00:55:00,370
2020-02-23 01:00:00,273
2020-02-23 01:05:00,243
2020-02-23 01:10:00,279
2020-02-23 01:15:00,358
2020-02-23 01:20:00,377
2020-02-23 01:25:00,382
2020-02-23 01:30:00,388
2020-02-23 01:35:00,385
2020-02-23 01:40:00,384
2020-02-23 01:45:00,391
2020-02-23 01:50:00,400
2020-02-23 01:55:00,403
2020-02-23 02:00:00,403
2020-02-23 02:05:00,402
2020-02-23 02:10:00,409
2020-02-23 02:15:00,404
2020-02-23 02:20:00,366
2020-02-23 02:25:00,281
2020-02-23 02:30:00,211
2020-02-23 02:35:00,382
2020-02-23 02:40:00,316
2020-02-23 02:45:00,388
2020-02-23 02:50:00,231
2020-02-23 02:55:00,362
2020-02-23 03:00:00,353
2020-02-23 03:05:00,345
2020-02-23 03:10:00,397
2020-02-23 03:15:00,404
2020-02-23 03:20:00,332
2020-02-23 03:25:00,363
2020-02-23 03:30:00,392
2020-02-23 03:35:00,211
2020-02-23 03:40:00,8
2020-02-23 03:45:00,90
2020-02-23 03:50:00,409
2020-02-23 03:55:00,101
2020-02-23 04:00:00,309
2020-02-23 04:05:00,347
2020-02-23 04:10:00,388
2020-02-23 04:15:00,433
2020-02-23 04:20:00,406
2020-02-23 04:25:00,345
2020-02-23 04:30:00,327
2020-02-23 04:35:00,370
2020-02-23 04:40:00,368
2020-02-23 04:45:00,389
2020-02-23 04:50:00,401
2020-02-23 04:55:00,339
2020-02-23 05:00:00,322
2020-02-23 05:05:00,386
2020-02-23 05:10:00,333
2020-02-23 05:15:00,303
2020-02-23 05:20:00,270
2020-02-23 05:25:00,317
2020-02-23 05:30:00,97
2020-02-23 05:35:00,65
2020-02-23 05:40:00,19
2020-02-23 05:45:00,0
2020-02-23 05:50:00,0
2020-02-23 05:55:00,0
2020-02-23 06:00:00,0
2020-02-23 06:05:00,6
2020-02-23 06:10:00,4
2020-02-23 06:15:00,0
2020-02-23 06:20:00,0
2020-02-23 06:25:00,10
2020-02-23 06:30:00,19
2020-02-23 06:35:00,0
2020-02-23 06:40:00,21
2020-02-23 06:45:00,31
2020-02-23 06:50:00,63
2020-02-23 06:55:00,72
2020-02-23 07:00:00,44
2020-02-23 07:05:00,99
2020-02-23 07:10:00,107
2020-02-23 07:15:00,30
2020-02-23 07:20:00,2
2020-02-23 07:25:00,0
2020-02-23 07:30:00,10
2020-02-23 07:35:00,1
2020-02-23 07:40:00,1
2020-02-23 07:45:00,2
2020-02-23 07:50:00,0
2020-02-23 07:55:00,34
2020-02-23 08:00:00,9
2020-02-23 08:05:00,3
2020-02-23 08:10:00,0
2020-02-23 08:15:00,17
2020-02-23 08:20:00,13
2020-02-23 08:25:00,3
2020-02-23 08:30:00,23
2020-02-23 08:35:00,17
2020-02-23 08:40:00,0
2020-02-23 08:45:00,0
2020-02-23 08:50:00,8
2020-02-23 08:55:00,14
2020-02-23 09:00:00,152
2020-02-23 09:05:00,8
2020-02-23 09:10:00,14
2020-02-23 09:15:00,10
