datetime,count
2020-07-16 09:30:00,93
2020-07-16 09:35:00,85
2020-07-16 09:40:00,62
2020-07-16 09:45:00,159
2020-07-16 09:50:00,137
2020-07-16 09:55:00,163
2020-07-16 10:00:00,64
2020-07-16 10:05:00,72
2020-07-16 10:10:00,34
2020-07-16 10:15:00,146
2020-07-16 10:20:00,160
2020-07-16 10:25:00,212
2020-07-16 10:30:00,177
2020-07-16 10:35:00,257
2020-07-16 10:40:00,186
2020-07-16 10:45:00,178
2020-07-16 10:50:00,20
2020-07-16 10:55:00,22
2020-07-16 11:00:00,65
2020-07-16 11:05:00,48
2020-07-16 11:10:00,136
2020-07-16 11:15:00,194
2020-07-16 11:20:00,228
2020-07-16 11:25:00,127
2020-07-16 11:30:00,103
2020-07-16 11:35:00,147
2020-07-16 11:40:00,223
2020-07-16 11:45:00,113
2020-07-16 11:50:00,136
2020-07-16 11:55:00,43
2020-07-16 12:00:00,27
2020-07-16 12:05:00,133
2020-07-16 12:10:00,65
2020-07-16 12:15:00,143
2020-07-16 12:20:00,89
2020-07-16 12:25:00,110
2020-07-16 12:30:00,185
2020-07-16 12:35:00,62
2020-07-16 12:40:00,62
2020-07-16 12:45:00,43
2020-07-16 12:50:00,9
2020-07-16 12:55:00,21
2020-07-16 13:00:00,42
2020-07-16 13:05:00,134
2020-07-16 13:10:00,50
2020-07-16 13:15:00,45
2020-07-16 13:20:00,88
2020-07-16 13:25:00,115
2020-07-16 13:30:00,94
2020-07-16 13:35:00,188
2020-07-16 13:40:00,94
2020-07-16 13:45:00,103
2020-07-16 13:50:00,18
2020-07-16 13:55:00,22
2020-07-16 14:00:00,138
2020-07-16 14:05:00,73
2020-07-16 14:10:00,150
2020-07-16 14:15:00,36
2020-07-16 14:20:00,14
2020-07-16 14:25:00,25
2020-07-16 14:30:00,34
2020-07-16 14:35:00,70
2020-07-16 14:40:00,97
2020-07-16 14:45:00,16
2020-07-16 14:50:00,39
2020-07-16 14:55:00,36
2020-07-16 15:00:00,164
2020-07-16 15:05:00,203
2020-07-16 15:10:00,98
2020-07-16 15:15:00,111
2020-07-16 15:20:00,55
2020-07-16 15:25:00,51
2020-07-16 15:30:00,27
2020-07-16 15:35:00,35
2020-07-16 15:40:00,8
2020-07-16 15:45:00,21
2020-07-16 15:50:00,154
2020-07-16 15:55:00,152
2020-07-16 16:00:00,165
2020-07-16 16:05:00,99
2020-07-16 16:10:00,259
2020-07-16 16:15:00,47
2020-07-16 16:20:00,38
2020-07-16 16:25:00,6
2020-07-16 16:30:00,36
2020-07-16 16:35:00,213
2020-07-16 16:40:00,47
2020-07-16 16:45:00,96
2020-07-16 16:50:00,142
2020-07-16 16:55:00,175
2020-07-16 17:00:00,72
2020-07-16 17:05:00,98
2020-07-16 17:10:00,118
2020-07-16 17:15:00,73
2020-07-16 17:20:00,69
2020-07-16 17:25:00,266
2020-07-16 17:30:00,57
2020-07-16 17:35:00,255
2020-07-16 17:40:00,103
2020-07-16 17:45:00,222
2020-07-16 17:50:00,186
2020-07-16 17:55:00,83
2020-07-16 18:00:00,189
2020-07-16 18:05:00,246
2020-07-16 18:10:00,177
2020-07-16 18:15:00,72
2020-07-16 18:20:00,187
2020-07-16 18:25:00,223
2020-07-16 18:30:00,139
2020-07-16 18:35:00,112
2020-07-16 18:40:00,29
2020-07-16 18:45:00,82
2020-07-16 18:50:00,103
2020-07-16 18:55:00,97
2020-07-16 19:00:00,68
2020-07-16 19:05:00,34
2020-07-16 19:10:00,203
2020-07-16 19:15:00,124
2020-07-16 19:20:00,70
2020-07-16 19:25:00,56
2020-07-16 19:30:00,30
2020-07-16 19:35:00,151
2020-07-16 19:40:00,156
2020-07-16 19:45:00,230
2020-07-16 19:50:00,435
2020-07-16 19:55:00,287
2020-07-16 20:00:00,251
2020-07-16 20:05:00,249
2020-07-16 20:10:00,153
2020-07-16 20:15:00,131
2020-07-16 20:20:00,31
2020-07-16 20:25:00,106
2020-07-16 20:30:00,108
2020-07-16 20:35:00,108
2020-07-16 20:40:00,131
2020-07-16 20:45:00,221
2020-07-16 20:50:00,135
2020-07-16 20:55:00,78
2020-07-16 21:00:00,132
2020-07-16 21:05:00,326
2020-07-16 21:10:00,126
2020-07-16 21:15:00,123
2020-07-16 21:20:00,95
2020-07-16 21:25:00,19
2020-07-16 21:30:00,104
2020-07-16 21:35:00,202
2020-07-16 21:40:00,363
2020-07-16 21:45:00,227
2020-07-16 21:50:00,323
2020-07-16 21:55:00,312
2020-07-16 22:00:00,302
2020-07-16 22:05:00,365
2020-07-16 22:10:00,192
2020-07-16 22:15:00,349
2020-07-16 22:20:00,281
2020-07-16 22:25:00,91
2020-07-16 22:30:00,34
2020-07-16 22:35:00,34
2020-07-16 22:40:00,261
2020-07-16 22:45:00,226
2020-07-16 22:50:00,173
2020-07-16 22:55:00,304
2020-07-16 23:00:00,201
2020-07-16 23:05:00,52
2020-07-16 23:10:00,7
2020-07-16 23:15:00,97
2020-07-16 23:20:00,58
2020-07-16 23:25:00,60
2020-07-16 23:30:00,119
2020-07-16 23:35:00,59
2020-07-16 23:40:00,273
2020-07-16 23:45:00,232
2020-07-16 23:50:00,340
2020-07-16 23:55:00,364
2020-07-17 00:00:00,366
2020-07-17 00:05:00,365
2020-07-17 00:10:00,364
2020-07-17 00:15:00,339
2020-07-17 00:20:00,337
2020-07-17 00:25:00,364
2020-07-17 00:30:00,385
2020-07-17 00:35:00,370
2020-07-17 00:40:00,377
2020-07-17 00:45:00,387
2020-07-17 00:50:00,373
2020-07-17 00:55:00,387
2020-07-17 01:00:00,380
2020-07-17 01:05:00,393
2020-07-17 01:10:00,396
2020-07-17 01:15:00,387
2020-07-17 01:20:00,343
2020-07-17 01:25:00,275
2020-07-17 01:30:00,385
2020-07-17 01:35:00,375
2020-07-17 01:40:00,319
2020-07-17 01:45:00,274
2020-07-17 01:50:00,364
2020-07-17 01:55:00,354
2020-07-17 02:00:00,373
2020-07-17 02:05:00,377
2020-07-17 02:10:00,377
2020-07-17 02:15:00,364
2020-07-17 02:20:00,336
2020-07-17 02:25:00,393
2020-07-17 02:30:00,420
2020-07-17 02:35:00,409
2020-07-17 02:40:00,402
2020-07-17 02:45:00,374
2020-07-17 02:50:00,390
2020-07-17 02:55:00,398
2020-07-17 03:00:00,396
2020-07-17 03:05:00,373
2020-07-17 03:10:00,364
2020-07-17 03:15:00,321
2020-07-17 03:20:00,121
2020-07-17 03:25:00,316
2020-07-17 03:30:00,329
2020-07-17 03:35:00,309
2020-07-17 03:40:00,328
2020-07-17 03:45:00,340
2020-07-17 03:50:00,340
2020-07-17 03:55:00,339
2020-07-17 04:00:00,339
2020-07-17 04:05:00,319
2020-07-17 04:10:00,161
2020-07-17 04:15:00,9
2020-07-17 04:20:00,32
2020-07-17 04:25:00,14
2020-07-17 04:30:00,9
2020-07-17 04:35:00,2
2020-07-17 04:40:00,235
2020-07-17 04:45:00,326
2020-07-17 04:50:00,337
2020-07-17 04:55:00,302
2020-07-17 05:00:00,304
2020-07-17 05:05:00,306
2020-07-17 05:10:00,293
2020-07-17 05:15:00,182
2020-07-17 05:20:00,133
2020-07-17 05:25:00,335
2020-07-17 05:30:00,312
