datetime,count
2020-03-21 08:40:00,12
2020-03-21 08:45:00,34
2020-03-21 08:50:00,11
2020-03-21 08:55:00,18
2020-03-21 09:00:00,41
2020-03-21 09:05:00,0
2020-03-21 09:10:00,0
2020-03-21 09:15:00,1
2020-03-21 09:20:00,3
2020-03-21 09:25:00,0
2020-03-21 09:30:00,7
2020-03-21 09:35:00,27
2020-03-21 09:40:00,75
2020-03-21 09:45:00,94
2020-03-21 09:50:00,31
2020-03-21 09:55:00,9
2020-03-21 10:00:00,2
2020-03-21 10:05:00,0
2020-03-21 10:10:00,0
2020-03-21 10:15:00,0
2020-03-21 10:20:00,29
2020-03-21 10:25:00,18
2020-03-21 10:30:00,4
2020-03-21 10:35:00,2
2020-03-21 10:40:00,14
2020-03-21 10:45:00,2
2020-03-21 10:50:00,20
2020-03-21 10:55:00,15
2020-03-21 11:00:00,6
2020-03-21 11:05:00,9
2020-03-21 11:10:00,34
2020-03-21 11:15:00,36
2020-03-21 11:20:00,128
2020-03-21 11:25:00,22
2020-03-21 11:30:00,1
2020-03-21 11:35:00,15
2020-03-21 11:40:00,42
2020-03-21 11:45:00,80
2020-03-21 11:50:00,3
2020-03-21 11:55:00,7
2020-03-21 12:00:00,8
2020-03-21 12:05:00,0
2020-03-21 12:10:00,3
2020-03-21 12:15:00,6
2020-03-21 12:20:00,33
2020-03-21 12:25:00,10
2020-03-21 12:30:00,4
2020-03-21 12:35:00,0
2020-03-21 12:40:00,2
2020-03-21 12:45:00,0
2020-03-21 12:50:00,2
2020-03-21 12:55:00,11
2020-03-21 13:00:00,4
2020-03-21 13:05:00,20
2020-03-21 13:10:00,1
2020-03-21 13:15:00,0
2020-03-21 13:20:00,17
2020-03-21 13:25:00,0
2020-03-21 13:30:00,1
2020-03-21 13:35:00,9
2020-03-21 13:40:00,0
2020-03-21 13:45:00,0
2020-03-21 13:50:00,18
2020-03-21 13:55:00,2
2020-03-21 14:00:00,0
2020-03-21 14:05:00,0
2020-03-21 14:10:00,1
2020-03-21 14:15:00,23
2020-03-21 14:20:00,35
2020-03-21 14:25:00,24
2020-03-21 14:30:00,36
2020-03-21 14:35:00,23
2020-03-21 14:40:00,24
2020-03-21 14:45:00,34
2020-03-21 14:50:00,12
2020-03-21 14:55:00,6
