datetime,count
2020-02-13 15:30:00,5
2020-02-13 15:35:00,31
2020-02-13 15:40:00,14
2020-02-13 15:45:00,24
2020-02-13 15:50:00,36
2020-02-13 15:55:00,25
2020-02-13 16:00:00,43
2020-02-13 16:05:00,11
2020-02-13 16:10:00,5
2020-02-13 16:15:00,3
2020-02-13 16:20:00,40
2020-02-13 16:25:00,13
2020-02-13 16:30:00,55
2020-02-13 16:35:00,47
2020-02-13 16:40:00,1
2020-02-13 16:45:00,37
2020-02-13 16:50:00,9
2020-02-13 16:55:00,16
2020-02-13 17:00:00,6
2020-02-13 17:05:00,9
2020-02-13 17:10:00,94
2020-02-13 17:15:00,197
2020-02-13 17:20:00,141
2020-02-13 17:25:00,253
2020-02-13 17:30:00,185
2020-02-13 17:35:00,62
2020-02-13 17:40:00,125
2020-02-13 17:45:00,211
2020-02-13 17:50:00,174
2020-02-13 17:55:00,101
2020-02-13 18:00:00,65
2020-02-13 18:05:00,28
2020-02-13 18:10:00,75
2020-02-13 18:15:00,84
2020-02-13 18:20:00,164
2020-02-13 18:25:00,148
2020-02-13 18:30:00,193
2020-02-13 18:35:00,187
2020-02-13 18:40:00,36
2020-02-13 18:45:00,29
2020-02-13 18:50:00,43
2020-02-13 18:55:00,45
2020-02-13 19:00:00,174
2020-02-13 19:05:00,27
2020-02-13 19:10:00,5
2020-02-13 19:15:00,3
2020-02-13 19:20:00,13
2020-02-13 19:25:00,109
2020-02-13 19:30:00,125
2020-02-13 19:35:00,33
2020-02-13 19:40:00,18
2020-02-13 19:45:00,36
2020-02-13 19:50:00,26
2020-02-13 19:55:00,8
2020-02-13 20:00:00,76
2020-02-13 20:05:00,27
2020-02-13 20:10:00,55
2020-02-13 20:15:00,17
2020-02-13 20:20:00,14
2020-02-13 20:25:00,29
2020-02-13 20:30:00,17
2020-02-13 20:35:00,67
2020-02-13 20:40:00,66
2020-02-13 20:45:00,107
2020-02-13 20:50:00,197
2020-02-13 20:55:00,61
2020-02-13 21:00:00,6
2020-02-13 21:05:00,80
2020-02-13 21:10:00,128
2020-02-13 21:15:00,116
2020-02-13 21:20:00,132
2020-02-13 21:25:00,68
2020-02-13 21:30:00,129
2020-02-13 21:35:00,58
2020-02-13 21:40:00,220
2020-02-13 21:45:00,114
2020-02-13 21:50:00,117
2020-02-13 21:55:00,175
2020-02-13 22:00:00,185
2020-02-13 22:05:00,124
2020-02-13 22:10:00,85
2020-02-13 22:15:00,70
2020-02-13 22:20:00,255
2020-02-13 22:25:00,258
2020-02-13 22:30:00,168
2020-02-13 22:35:00,215
2020-02-13 22:40:00,285
2020-02-13 22:45:00,250
2020-02-13 22:50:00,124
2020-02-13 22:55:00,107
2020-02-13 23:00:00,123
2020-02-13 23:05:00,62
2020-02-13 23:10:00,200
2020-02-13 23:15:00,20
2020-02-13 23:20:00,176
2020-02-13 23:25:00,285
2020-02-13 23:30:00,254
2020-02-13 23:35:00,311
2020-02-13 23:40:00,333
2020-02-13 23:45:00,336
2020-02-13 23:50:00,337
2020-02-13 23:55:00,342
2020-02-14 00:00:00,342
2020-02-14 00:05:00,286
2020-02-14 00:10:00,257
2020-02-14 00:15:00,242
2020-02-14 00:20:00,252
2020-02-14 00:25:00,225
2020-02-14 00:30:00,215
2020-02-14 00:35:00,257
2020-02-14 00:40:00,260
2020-02-14 00:45:00,217
2020-02-14 00:50:00,251
2020-02-14 00:55:00,304
2020-02-14 01:00:00,323
2020-02-14 01:05:00,317
2020-02-14 01:10:00,300
2020-02-14 01:15:00,282
2020-02-14 01:20:00,276
2020-02-14 01:25:00,310
2020-02-14 01:30:00,318
2020-02-14 01:35:00,296
2020-02-14 01:40:00,279
2020-02-14 01:45:00,279
2020-02-14 01:50:00,291
2020-02-14 01:55:00,293
2020-02-14 02:00:00,291
2020-02-14 02:05:00,301
