id,start,end,count,time_in_hours
1,2020-02-15 06:21:30.312500,2020-02-15 09:26:46.968750,355734,3.09
1,2020-02-15 16:19:47.375000,2020-02-16 15:08:12.968750,2627380,22.81
1,2020-02-16 15:56:11.312500,2020-02-16 16:54:54.968750,112758,0.98
1,2020-02-17 21:05:26.687500,2020-02-17 21:51:31.968750,88490,0.77
1,2020-02-19 07:15:52.250000,2020-02-19 12:19:09.968750,582328,5.05
1,2020-02-21 00:32:30.250000,2020-02-21 07:42:24.968750,825432,7.17
1,2020-02-21 17:20:05.312500,2020-02-21 19:44:31.968750,277334,2.41
2,2020-02-21 19:34:52.875000,2020-02-21 19:47:51.968750,24932,0.22
2,2020-02-22 21:28:51.250000,2020-02-22 22:04:30.968750,68472,0.59
2,2020-02-23 20:46:57.437500,2020-02-23 21:19:46.968750,63026,0.55
2,2020-02-24 20:08:10.250000,2020-02-24 20:34:54.968750,51352,0.45
2,2020-02-25 12:24:35.312500,2020-02-25 19:11:35.968750,781462,6.78
2,2020-02-26 20:42:14.625000,2020-02-26 21:44:42.968750,119948,1.04
2,2020-02-27 22:52:32.312500,2020-02-27 23:48:15.968750,106998,0.93
2,2020-02-28 21:58:05.500000,2020-02-29 07:54:46.968750,1145648,9.94
3,2020-02-23 18:14:40.437500,2020-02-23 19:03:52.968750,94482,0.82
3,2020-02-24 09:21:16.437500,2020-02-24 18:20:45.968750,1035826,8.99
3,2020-02-24 22:35:46.187500,2020-02-26 02:50:21.968750,3253626,28.24
3,2020-02-26 09:28:20.875000,2020-02-26 10:00:39.968750,62052,0.54
3,2020-02-26 21:04:53.687500,2020-02-27 05:02:06.968750,916266,7.95
3,2020-02-28 13:29:34.562500,2020-02-29 11:54:06.968750,2581518,22.41
3,2020-03-01 07:05:16.937500,2020-03-01 07:36:43.968750,60386,0.52
4,2020-02-27 08:47:02.312500,2020-02-27 21:11:01.968750,1428470,12.4
4,2020-02-28 04:14:42.312500,2020-02-29 19:07:05.968750,4478198,38.87
4,2020-02-29 22:05:03.937500,2020-02-29 22:16:52.968750,22690,0.2
4,2020-03-01 09:36:56.937500,2020-03-01 10:58:57.968750,157474,1.37
4,2020-03-01 22:49:16.562500,2020-03-01 23:15:53.968750,51118,0.44
4,2020-03-02 09:04:23.437500,2020-03-02 09:58:05.968750,103122,0.9
4,2020-03-02 21:35:28.687500,2020-03-02 21:54:44.968750,37002,0.32
4,2020-03-03 11:51:56.250000,2020-03-03 12:21:57.968750,57656,0.5
4,2020-03-04 01:41:26.687500,2020-03-04 02:06:59.968750,49066,0.43
4,2020-03-04 16:10:46.125000,2020-03-04 16:38:04.968750,52444,0.46
4,2020-03-04 21:02:32.937500,2020-03-04 21:21:35.968750,36578,0.32
4,2020-03-05 07:44:59.250000,2020-03-05 21:28:49.968750,1581784,13.73
4,2020-03-06 07:26:23.562500,2020-03-06 07:32:02.968750,10862,0.09
4,2020-03-06 09:51:38.250000,2020-03-06 09:56:43.968750,9784,0.08
5,2020-02-27 18:20:42.312500,2020-02-27 19:01:06.968750,77590,0.67
5,2020-02-28 12:34:07.375000,2020-02-28 15:33:04.968750,343604,2.98
5,2020-02-28 22:19:24.500000,2020-02-28 22:38:35.968750,36848,0.32
5,2020-02-29 14:47:16.312500,2020-02-29 15:24:06.968750,70742,0.61
5,2020-03-01 03:24:07.375000,2020-03-01 06:07:35.968750,313876,2.72
5,2020-03-01 16:07:16.312500,2020-03-01 17:21:06.968750,141782,1.23
5,2020-03-01 22:42:15.625000,2020-03-01 23:02:24.968750,38700,0.34
5,2020-03-01 23:37:44.312500,2020-03-01 23:38:39.968750,1782,0.02
5,2020-03-02 17:47:20.312500,2020-03-02 18:24:57.968750,72246,0.63
5,2020-03-03 09:24:14.500000,2020-03-03 09:40:09.968750,30576,0.27
5,2020-03-03 09:49:15.062500,2020-03-03 09:50:12.968750,1854,0.02
5,2020-03-03 22:08:24.250000,2020-03-03 22:38:06.968750,57048,0.5
5,2020-03-03 22:51:57.062500,2020-03-03 22:52:53.968750,1822,0.02
5,2020-03-04 00:59:50.625000,2020-03-04 01:00:41.968750,1644,0.01
5,2020-03-04 20:05:42.375000,2020-03-04 22:49:46.968750,315028,2.73
5,2020-03-05 22:02:51.312500,2020-03-05 22:44:36.968750,80182,0.7
5,2020-03-06 22:29:22.937500,2020-03-06 22:52:55.968750,45218,0.39
5,2020-03-07 08:00:46.437500,2020-03-07 08:29:14.968750,54674,0.47
6,2020-02-29 08:22:28.375000,2020-02-29 12:01:37.968750,420788,3.65
6,2020-02-29 22:52:16.812500,2020-02-29 23:42:12.968750,95878,0.83
6,2020-03-02 14:32:33.250000,2020-03-03 07:25:35.968750,1945048,16.88
6,2020-03-04 04:15:30.187500,2020-03-04 05:39:16.968750,160858,1.4
6,2020-03-04 21:43:57.875000,2020-03-04 22:50:41.968750,128132,1.11
6,2020-03-05 17:44:16.875000,2020-03-08 01:23:23.968750,6411108,55.65
6,2020-03-08 10:21:12.375000,2020-03-09 07:38:07.968750,2451700,21.28
7,2020-03-14 10:38:57.625000,2020-03-14 10:45:39.968750,12876,0.11
7,2020-03-15 08:18:06.250000,2020-03-15 08:48:45.968750,58872,0.51
7,2020-03-15 09:05:31.562500,2020-03-15 09:19:00.968750,25902,0.22
7,2020-03-15 09:24:32.312500,2020-03-15 09:25:32.968750,1942,0.02
7,2020-03-15 12:28:10.687500,2020-03-15 12:53:14.968750,48138,0.42
7,2020-03-16 08:45:06.000000,2020-03-16 09:11:54.968750,51488,0.45
7,2020-03-16 17:29:41.125000,2020-03-16 17:30:30.968750,1596,0.01
7,2020-03-17 11:02:49.375000,2020-03-17 11:28:47.968750,49876,0.43
7,2020-03-18 10:01:35.062500,2020-03-18 10:25:10.968750,45310,0.39
7,2020-03-19 09:02:08.375000,2020-03-19 09:24:41.968750,43316,0.38
7,2020-03-20 03:57:22.312500,2020-03-20 09:43:04.968750,663766,5.76
7,2020-03-20 18:09:18.500000,2020-03-20 18:10:06.968750,1552,0.01
7,2020-03-21 09:47:07.750000,2020-03-21 10:12:03.968750,47880,0.42
