id,start,end,count
8,2020-03-20 23:40:08.000,2020-03-21 06:59:14.750,105388
8,2020-03-22 05:02:55.500,2020-03-22 10:38:24.750,80518
8,2020-03-22 22:10:16.000,2020-03-22 22:28:49.750,4456
8,2020-03-23 07:28:03.500,2020-03-23 09:27:22.750,28638
9,2020-03-22 09:28:15.500,2020-03-22 10:11:41.750,10426
9,2020-03-22 10:45:28.500,2020-03-22 10:47:18.750,442
9,2020-03-23 09:06:11.500,2020-03-23 10:12:14.750,15854
9,2020-03-24 09:57:57.000,2020-03-24 10:39:59.750,10092
9,2020-03-25 19:46:19.500,2020-03-26 08:01:29.750,176442
9,2020-03-26 22:01:28.500,2020-03-26 23:11:47.750,16878
9,2020-03-27 20:52:28.500,2020-03-27 21:22:12.750,7138
9,2020-03-28 22:20:02.500,2020-03-28 23:53:09.750,22350
10,2020-03-23 05:09:55.000,2020-03-23 05:35:16.750,6088
10,2020-03-24 09:30:48.500,2020-03-24 10:48:55.750,18750
10,2020-03-25 06:21:11.000,2020-03-25 07:00:26.750,9424
10,2020-03-26 04:48:37.500,2020-03-26 05:08:09.750,4690
10,2020-03-27 05:52:32.500,2020-03-27 06:17:17.750,5942
10,2020-03-28 03:10:18.000,2020-03-28 05:26:02.750,32580
10,2020-03-29 03:59:03.000,2020-03-29 05:46:11.750,25716
10,2020-03-30 02:55:52.500,2020-03-30 06:13:05.750,47334
11,2020-04-06 12:03:44.500,2020-04-06 12:29:54.750,6282
11,2020-04-06 19:59:46.000,2020-04-06 20:53:29.750,12896
11,2020-04-06 20:58:49.500,2020-04-06 22:43:24.750,25102
11,2020-04-07 08:34:52.000,2020-04-07 08:39:15.750,1056
11,2020-04-07 18:52:53.500,2020-04-07 19:55:30.750,15030
11,2020-04-08 20:09:02.500,2020-04-08 21:34:44.750,20570
11,2020-04-09 15:30:42.000,2020-04-11 06:39:22.750,563684
11,2020-04-11 20:38:12.500,2020-04-11 21:37:46.750,14298
11,2020-04-12 21:08:11.000,2020-04-12 21:53:16.750,10824
11,2020-04-13 22:27:48.500,2020-04-14 02:40:33.750,60662
11,2020-04-14 20:19:17.500,2020-04-14 21:13:45.750,13074
11,2020-04-15 23:42:07.000,2020-04-16 06:15:39.750,94452
12,2020-05-03 20:48:44.500,2020-05-03 21:48:48.750,14418
12,2020-05-05 20:06:29.500,2020-05-05 23:19:35.750,46346
12,2020-05-07 15:56:16.500,2020-05-07 23:48:29.750,113334
12,2020-05-08 22:52:51.000,2020-05-08 23:22:59.750,7236
12,2020-05-10 13:41:00.000,2020-05-10 20:47:26.750,102348
13,2020-05-29 09:11:16.000,2020-05-29 10:53:34.750,24556
13,2020-05-30 10:24:32.000,2020-05-30 10:57:41.750,7960
13,2020-05-30 11:12:37.500,2020-05-30 11:18:33.750,1426
13,2020-05-31 10:04:47.500,2020-05-31 11:16:28.750,17206
13,2020-05-31 13:11:14.000,2020-05-31 14:13:48.750,15020
13,2020-05-31 23:01:08.500,2020-05-31 23:49:20.750,11570
13,2020-06-01 10:44:00.000,2020-06-01 11:48:47.750,15552
13,2020-06-02 12:28:01.500,2020-06-02 13:14:32.750,11166
13,2020-06-03 14:19:07.500,2020-06-03 15:16:32.750,13782
13,2020-06-04 09:08:57.000,2020-06-04 09:45:29.750,8772
14,2020-06-07 00:54:01.000,2020-06-07 11:57:02.750,159128
14,2020-06-07 19:11:49.500,2020-06-07 22:09:35.750,42666
14,2020-06-08 22:55:16.500,2020-06-08 23:30:54.750,8554
14,2020-06-09 21:18:56.500,2020-06-10 00:17:46.750,42922
14,2020-06-11 14:40:47.000,2020-06-11 22:45:48.750,116408
14,2020-06-12 21:24:55.000,2020-06-12 22:52:46.750,21088
14,2020-06-13 10:35:26.000,2020-06-13 10:35:31.750,24
16,2020-07-18 03:07:22.500,2020-07-18 09:31:30.750,92194
16,2020-07-19 15:00:19.000,2020-07-20 08:39:19.750,254164
16,2020-07-21 14:24:17.000,2020-07-21 15:36:55.750,17436
16,2020-07-22 10:59:00.500,2020-07-22 11:37:20.750,9202
