id,start,end,count,time_in_hours
1,2020-02-15 06:21:30.218750,2020-02-15 09:26:46.984375,711474,197.63
1,2020-02-15 16:19:47.250000,2020-02-16 15:08:12.984375,5254768,1459.66
1,2020-02-16 15:56:11.218750,2020-02-16 16:54:54.984375,225522,62.64
1,2020-02-17 21:05:26.687500,2020-02-17 21:51:31.984375,176980,49.16
1,2020-02-19 07:15:52.250000,2020-02-19 12:19:09.984375,1164656,323.52
1,2020-02-21 00:32:30.359375,2020-02-21 07:42:24.984375,1650857,458.57
1,2020-02-21 17:20:05.312500,2020-02-21 19:44:31.984375,554668,154.07
2,2020-02-21 19:34:52.765625,2020-02-21 19:47:51.984375,49871,13.85
2,2020-02-22 21:28:51.296875,2020-02-22 22:04:30.984375,136941,38.04
2,2020-02-23 20:46:57.500000,2020-02-23 21:19:46.984375,126048,35.01
2,2020-02-24 20:08:10.312500,2020-02-24 20:34:54.984375,102700,28.53
2,2020-02-25 12:24:35.343750,2020-02-25 19:11:35.984375,1562922,434.14
2,2020-02-26 20:42:14.656250,2020-02-26 21:44:42.984375,239894,66.64
2,2020-02-27 22:52:32.328125,2020-02-27 23:48:15.984375,213995,59.44
2,2020-02-28 21:58:05.531250,2020-02-29 07:54:46.984375,2291294,636.47
3,2020-02-23 18:14:40.421875,2020-02-23 19:03:52.984375,188965,52.49
3,2020-02-24 09:21:16.562500,2020-02-24 18:20:45.984375,2071644,575.46
3,2020-02-24 22:35:46.140625,2020-02-26 02:50:21.984375,6507255,1807.57
3,2020-02-26 09:28:20.937500,2020-02-26 10:00:39.984375,124100,34.47
3,2020-02-26 21:04:53.687500,2020-02-27 05:02:06.984375,1832532,509.04
3,2020-02-28 13:29:34.671875,2020-02-29 11:54:06.984375,5163029,1434.17
3,2020-03-01 07:05:17.031250,2020-03-01 07:36:43.984375,120766,33.55
4,2020-02-27 08:47:02.250000,2020-02-27 21:11:01.984375,2856944,793.6
4,2020-02-28 04:14:42.312500,2020-02-29 19:07:05.984375,8956396,2487.89
4,2020-02-29 22:05:03.906250,2020-02-29 22:16:52.984375,45382,12.61
4,2020-03-01 09:36:56.984375,2020-03-01 10:58:57.984375,314945,87.48
4,2020-03-01 22:49:16.468750,2020-03-01 23:15:53.984375,102242,28.4
4,2020-03-02 09:04:23.484375,2020-03-02 09:58:05.984375,206241,57.29
4,2020-03-02 21:35:28.625000,2020-03-02 21:54:44.984375,74008,20.56
4,2020-03-03 11:51:56.328125,2020-03-03 12:21:57.984375,115307,32.03
4,2020-03-04 01:41:26.593750,2020-03-04 02:06:59.984375,98138,27.26
4,2020-03-04 16:10:46.125000,2020-03-04 16:38:04.984375,104888,29.14
4,2020-03-04 21:02:32.843750,2020-03-04 21:21:35.984375,73162,20.32
4,2020-03-05 07:44:59.265625,2020-03-05 21:28:49.984375,3163567,878.77
4,2020-03-06 07:26:23.468750,2020-03-06 07:32:02.984375,21730,6.04
4,2020-03-06 09:51:38.296875,2020-03-06 09:56:43.984375,19565,5.43
5,2020-02-27 18:20:42.218750,2020-02-27 19:01:06.984375,155186,43.11
5,2020-02-28 12:34:07.218750,2020-02-28 15:33:04.984375,687218,190.89
5,2020-02-28 22:19:24.437500,2020-02-28 22:38:35.984375,73700,20.47
5,2020-02-29 14:47:16.218750,2020-02-29 15:24:06.984375,141490,39.3
5,2020-03-01 03:24:07.265625,2020-03-01 06:07:35.984375,627759,174.38
5,2020-03-01 16:07:16.312500,2020-03-01 17:21:06.984375,283564,78.77
5,2020-03-01 22:42:15.562500,2020-03-01 23:02:24.984375,77404,21.5
5,2020-03-01 23:37:44.390625,2020-03-01 23:38:39.984375,3559,0.99
5,2020-03-02 17:47:20.234375,2020-03-02 18:24:57.984375,144497,40.14
5,2020-03-03 09:24:14.546875,2020-03-03 09:40:09.984375,61149,16.99
5,2020-03-03 09:49:15.015625,2020-03-03 09:50:12.984375,3711,1.03
5,2020-03-03 22:08:24.328125,2020-03-03 22:38:06.984375,114091,31.69
5,2020-03-03 22:51:56.984375,2020-03-03 22:52:53.984375,3649,1.01
5,2020-03-04 00:59:50.640625,2020-03-04 01:00:41.984375,3287,0.91
5,2020-03-04 20:05:42.328125,2020-03-04 22:49:46.984375,630059,175.02
5,2020-03-05 22:02:51.359375,2020-03-05 22:44:36.984375,160361,44.54
5,2020-03-06 22:29:22.984375,2020-03-06 22:52:55.984375,90433,25.12
